图片名称	文本描述	相似度	图片路径	Prompts文件
====================================================================================================
plate_clean_00045	empty, a plate with a detailed bird illustration, ...	1.0000	datasets/synthetic/plate_clean_00045.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00410	empty, a plate with a Japanese-style wave motif, p...	1.0000	datasets/synthetic/plate_clean_00410.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00429	empty, a handcrafted plate with an irregular, orga...	1.0000	datasets/synthetic/plate_clean_00429.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00199	empty, a plate with a reactive glaze finish, photo...	1.0000	datasets/synthetic/plate_clean_00199.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00170	empty, a minimalist plate with a single black line...	1.0000	datasets/synthetic/plate_clean_00170.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00396	empty, a frosted glass appetizer plate, photoreali...	1.0000	datasets/synthetic/plate_clean_00396.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00411	empty, a metallic-finish decorative plate, photore...	1.0000	datasets/synthetic/plate_clean_00411.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00077	empty, an antique plate with a crackle glaze, phot...	1.0000	datasets/synthetic/plate_clean_00077.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00403	empty, a plate with a raised-dot border, photoreal...	1.0000	datasets/synthetic/plate_clean_00403.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00307	empty, a high-gloss white porcelain plate, photore...	1.0000	datasets/synthetic/plate_clean_00307.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00277	empty, a heavy, durable melamine plate, photoreali...	1.0000	datasets/synthetic/plate_clean_00277.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00308	empty, a bright yellow plastic picnic plate, photo...	1.0000	datasets/synthetic/plate_clean_00308.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00106	empty, a simple, elegant ivory-colored plate, phot...	1.0000	datasets/synthetic/plate_clean_00106.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00383	empty, a plate with a detailed bird illustration, ...	1.0000	datasets/synthetic/plate_clean_00383.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00076	empty, a plate with a subtle, textured surface, ph...	1.0000	datasets/synthetic/plate_clean_00076.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00211	empty, an antique plate with a crackle glaze, phot...	1.0000	datasets/synthetic/plate_clean_00211.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00070	empty, a stark white, square minimalist plate, pho...	1.0000	datasets/synthetic/plate_clean_00070.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00227	empty, a plate with a playful cartoon character on...	1.0000	datasets/synthetic/plate_clean_00227.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00021	empty, a plate with a bold, colorful pop-art desig...	1.0000	datasets/synthetic/plate_clean_00021.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00092	empty, a plate made from recycled glass, photoreal...	1.0000	datasets/synthetic/plate_clean_00092.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00062	empty, a plate with an abstract ink wash design, p...	1.0000	datasets/synthetic/plate_clean_00062.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00155	empty, a square plate with rounded corners, photor...	1.0000	datasets/synthetic/plate_clean_00155.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00127	empty, a classic porcelain plate with a blue willo...	1.0000	datasets/synthetic/plate_clean_00127.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00440	empty, a plate with a bold, colorful pop-art desig...	1.0000	datasets/synthetic/plate_clean_00440.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00421	empty, a heavy, grooved stoneware plate, photoreal...	1.0000	datasets/synthetic/plate_clean_00421.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00081	empty, a plate with a hand-thrown, artisanal feel,...	1.0000	datasets/synthetic/plate_clean_00081.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00162	empty, a shallow pasta plate with a wide rim, phot...	1.0000	datasets/synthetic/plate_clean_00162.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00292	empty, a translucent bone china plate, photorealis...	1.0000	datasets/synthetic/plate_clean_00292.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00006	empty, plate with a galaxy-themed reactive glaze, ...	1.0000	datasets/synthetic/plate_clean_00006.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00027	empty, a plate with an impression of a fossil, pho...	1.0000	datasets/synthetic/plate_clean_00027.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00444	empty, a heavyweight, restaurant-quality white pla...	1.0000	datasets/synthetic/plate_clean_00444.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00020	empty, a plate with a subtle marble vein pattern, ...	1.0000	datasets/synthetic/plate_clean_00020.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00441	empty, a large, oval-shaped fish platter, photorea...	1.0000	datasets/synthetic/plate_clean_00441.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00063	empty, a compartmentalized bento plate, photoreali...	1.0000	datasets/synthetic/plate_clean_00063.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00362	empty, a porcelain plate with a gold rim, photorea...	1.0000	datasets/synthetic/plate_clean_00362.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00075	empty, an earthenware plate with a terracotta fini...	1.0000	datasets/synthetic/plate_clean_00075.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00347	empty, a plate made from recycled glass, photoreal...	1.0000	datasets/synthetic/plate_clean_00347.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00034	empty, a deep forest green ceramic plate, photorea...	1.0000	datasets/synthetic/plate_clean_00034.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00089	empty, a rough-textured earthenware plate, photore...	1.0000	datasets/synthetic/plate_clean_00089.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00247	empty, a solid mustard yellow plate, photorealisti...	1.0000	datasets/synthetic/plate_clean_00247.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00446	empty, a deep-dish pizza plate, photorealistic, to...	1.0000	datasets/synthetic/plate_clean_00446.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00336	empty, a lustrous pearl-finish plate, photorealist...	1.0000	datasets/synthetic/plate_clean_00336.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00109	empty, a rustic plate with a raw, unfinished edge,...	1.0000	datasets/synthetic/plate_clean_00109.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00327	empty, a heavyweight, restaurant-quality white pla...	1.0000	datasets/synthetic/plate_clean_00327.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00083	empty, a square matte black slate platter, photore...	1.0000	datasets/synthetic/plate_clean_00083.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00005	empty, a plate with a soft, pastel gradient, photo...	1.0000	datasets/synthetic/plate_clean_00005.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00074	empty, a shallow pasta plate with a wide rim, phot...	1.0000	datasets/synthetic/plate_clean_00074.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00002	empty, a large, rustic stoneware serving plate, ph...	1.0000	datasets/synthetic/plate_clean_00002.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00372	empty, a plate with a single, off-center brush str...	1.0000	datasets/synthetic/plate_clean_00372.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00341	empty, a glossy red charger plate, photorealistic,...	1.0000	datasets/synthetic/plate_clean_00341.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00128	empty, a plate with a single, elegant monogram, ph...	1.0000	datasets/synthetic/plate_clean_00128.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00398	empty, a vintage tin plate with a faded advertisem...	1.0000	datasets/synthetic/plate_clean_00398.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00426	empty, a deep forest green ceramic plate, photorea...	1.0000	datasets/synthetic/plate_clean_00426.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00397	empty, a sea-green ceramic plate, photorealistic, ...	1.0000	datasets/synthetic/plate_clean_00397.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00314	empty, a plate with a glossy black finish, photore...	1.0000	datasets/synthetic/plate_clean_00314.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00288	empty, a plate with a soft, pastel gradient, photo...	1.0000	datasets/synthetic/plate_clean_00288.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00266	empty, a minimalist beige stoneware plate, photore...	1.0000	datasets/synthetic/plate_clean_00266.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00306	empty, a plate with a single, elegant monogram, ph...	1.0000	datasets/synthetic/plate_clean_00306.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00153	empty, a plate with a scalloped edge, photorealist...	1.0000	datasets/synthetic/plate_clean_00153.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00409	empty, a plate with an intricate lace pattern pres...	1.0000	datasets/synthetic/plate_clean_00409.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00235	empty, a charcoal-colored stone plate, photorealis...	1.0000	datasets/synthetic/plate_clean_00235.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00168	empty, a round white ceramic dinner plate, photore...	1.0000	datasets/synthetic/plate_clean_00168.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00384	empty, a plate with a playful cartoon character on...	1.0000	datasets/synthetic/plate_clean_00384.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00414	empty, a plate with a reactive glaze finish, photo...	1.0000	datasets/synthetic/plate_clean_00414.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00101	empty, a lustrous pearl-finish plate, photorealist...	1.0000	datasets/synthetic/plate_clean_00101.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00041	empty, a heavyweight, restaurant-quality white pla...	1.0000	datasets/synthetic/plate_clean_00041.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00418	empty, a plate with a raised-dot border, photoreal...	1.0000	datasets/synthetic/plate_clean_00418.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00371	empty, a large, oval-shaped fish platter, photorea...	1.0000	datasets/synthetic/plate_clean_00371.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00147	empty, a rustic plate with a raw, unfinished edge,...	1.0000	datasets/synthetic/plate_clean_00147.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00172	empty, a cream-colored plate with a brown speckled...	1.0000	datasets/synthetic/plate_clean_00172.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00124	empty, a plate with a subtle concentric circle des...	1.0000	datasets/synthetic/plate_clean_00124.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00376	empty, a round white ceramic dinner plate, photore...	1.0000	datasets/synthetic/plate_clean_00376.png	output/plate/clean/plate_clean_prompts.txt
plate_clean_00056	empty, a lustrous pearl-finish plate, photorealist...	1.0000	datasets/synthetic/plate_clean_00056.png	output/plate/clean/plate_clean_prompts.txt
